timestamps,data,sampling_rate
0.05,0.0860680116380972,20
0.1,0.087269234544891,
0.15,0.0859509772199259,
0.2,0.0857720036057854,
0.25,0.0859360216459139,
0.3,0.0866275734978594,
0.35,0.0883095093692622,
0.4,0.0874432461798147,
0.45,0.0873072951647936,
0.5,0.0862026124074959,
0.55,0.0853987459173006,
0.6,0.0871658582925564,
0.65,0.0879924141633773,
0.7,0.0910520715120282,
0.75,0.0887462211376266,
0.8,0.0870593616068133,
0.85,0.0879111046496021,
0.9,0.0876359870473183,
0.95,0.0885625546557585,
1,0.087999864923994,
1.05,0.0873000378674841,
1.1,0.08772075027681,
1.15,0.0828858574499455,
1.2,0.08442584753721,
1.25,0.0858124972477515,
1.3,0.086970880363533,
1.35,0.0871883617057411,
1.4,0.0868447652836191,
1.45,0.0864806999299393,
1.5,0.0848538556178268,
1.55,0.0833244163281262,
1.6,0.0877349378602897,
1.65,0.087581413439363,
1.7,0.0873382696298977,
1.75,0.0876179362612523,
1.8,0.088333921612207,
1.85,0.087441610967562,
1.9,0.0876673329716796,
1.95,0.090245402662324,
2,0.0896882195652465,
2.05,0.087408287518643,
2.1,0.0886358318731653,
2.15,0.0916410628338204,
2.2,0.091018688129522,
2.25,0.0917880188571518,
2.3,0.0910670820199996,
2.35,0.0912265713615729,
2.4,0.0893899829450584,
2.45,0.0865467674793107,
2.5,0.0900590737862356,
2.55,0.089131905467219,
2.6,0.0906984778518623,
2.65,0.0897521620251589,
2.7,0.0891133165635304,
2.75,0.0868275848541689,
2.8,0.088816385314309,
2.85,0.0895850763458533,
2.9,0.0915604423724422,
2.95,0.0897774925224947,
3,0.0898760904697219,
3.05,0.0873197156294162,
3.1,0.0895392829905346,
3.15,0.0914441459257472,
3.2,0.0912673016607061,
3.25,0.0914811382073865,
3.3,0.0897984497785859,
3.35,0.089386101123659,
3.4,0.0882006262279746,
3.45,0.0896781673650337,
3.5,0.0923243913605588,
3.55,0.093697052074192,
3.6,0.0890770021678309,
3.65,0.0873861930200622,
3.7,0.0865298721658684,
3.75,0.0901690538407308,
3.8,0.0916118880551596,
3.85,0.0915938315248426,
3.9,0.0895635186292976,
3.95,0.088346601390834,
4,0.0884507839646113,
4.05,0.0897661050782038,
4.1,0.0911654387871612,
4.15,0.0932807234722089,
4.2,0.0902993291501775,
4.25,0.0878316417109359,
4.3,0.0875776463409408,
4.35,0.0884833510827751,
4.4,0.0903781600315137,
4.45,0.0915050723650233,
4.5,0.09188719660694,
4.55,0.0885581007556158,
4.6,0.0861672247175,
4.65,0.0877446153411062,
4.7,0.0882222747287341,
4.75,0.0906653845600881,
4.8,0.0896093449755294,
4.85,0.0912863810830987,
4.9,0.0880097281438537,
4.95,0.0884578621284901,
5,0.088681806432934,
5.05,0.0909019876245664,
5.1,0.0912645691614871,
5.15,0.0915235198914399,
5.2,0.0885712169747995,
5.25,0.08643707511369,
5.3,0.0884996210573883,
5.35,0.089298994525999,
5.4,0.0889423195857246,
5.45,0.0902463207679061,
5.5,0.0879590044241183,
5.55,0.0884511678217764,
5.6,0.0859897199248253,
5.65,0.0883237331656056,
5.7,0.0916113011504483,
5.75,0.0910677089857541,
5.8,0.0891048473673928,
5.85,0.0889943738647011,
5.9,0.0849390488612654,
5.95,0.0886715734198154,
6,0.0893792847639647,
6.05,0.0874113423154369,
6.1,0.0886039994967766,
6.15,0.0864030386411426,
6.2,0.0890414063110258,
6.25,0.0872723508244261,
6.3,0.0886610610652322,
6.35,0.0901704744810912,
6.4,0.0901713948975726,
6.45,0.0879323686495674,
6.5,0.0865902954169105,
6.55,0.0874445801036094,
6.6,0.0896869967417109,
6.65,0.0915327304633165,
6.7,0.0897975074140456,
6.75,0.0873097077475396,
6.8,0.0850039048099054,
6.85,0.0861700423024653,
6.9,0.0863094811263884,
6.95,0.0890633035357328,
7,0.0900424872461691,
7.05,0.0881382751985949,
7.1,0.0886534056331159,
7.15,0.0856425104020115,
7.2,0.0877204505388971,
7.25,0.0900275494664703,
7.3,0.0892116434115044,
7.35,0.0894606690794509,
7.4,0.0872839242467514,
7.45,0.0861045591668107,
7.5,0.0871174972025523,
7.55,0.0898495966297586,
7.6,0.089884070116463,
7.65,0.0908257668089271,
7.7,0.0878439145991577,
7.75,0.0859063841326289,
7.8,0.0871448366985383,
7.85,0.0884695613026562,
7.9,0.0900087480087722,
7.95,0.0901744098010982,
8,0.0893517661078447,
8.05,0.0853356793836791,
8.1,0.085700954056118,
8.15,0.089528042073283,
8.2,0.0912509472503858,
8.25,0.0901791608586702,
8.3,0.0882708476569479,
8.35,0.0892173339346878,
8.4,0.0886913272956368,
8.45,0.0875751044037528,
