,"0.0, 9.0","1.0, 50.0","2.0, 18.0","2.0, 38.0","3.0, 5.0","3.0, 34.0","4.0, 19.0","5.0, 36.0"
-2.9,0.538515654787056,-0.3730560703713835,-1.0357767392233317,0.1588183187126425,0.22780726047910463,0.21766867487401098,-0.35413313224229404,0.020074701453502986
-2.85,0.572981512691976,-0.4107187269255625,-1.0467288389342047,0.05293854201357748,0.27728937925903124,0.226101216217517,-0.306322414699719,0.06286238833301594
-2.8,0.585408830002976,-0.4220819831085035,-0.9922888150872926,-0.03482579033269351,0.2961361451185762,0.23771410344682098,-0.22198846378987003,0.08319945560128594
-2.75,0.5358995017944959,-0.42626103245140445,-0.9160929447669576,-0.09560766952343171,0.3126855375279074,0.273294600358004,-0.15997213471912097,0.093273599620041
-2.7,0.456582695603586,-0.3840320847635435,-0.8076018809201716,-0.12479216900964252,0.3411408127783087,0.331938689941714,-0.12890504427403493,0.08538368717596401
-2.65,0.35425036788539,-0.3350797547716265,-0.7125661064280966,-0.1341275468391505,0.3864661090608689,0.35313177514918603,-0.12401140472156502,0.08892535752777997
-2.6,0.261630874465976,-0.3080576671159335,-0.6514297318321086,-0.1509503744761812,0.44403622786123004,0.321428537070741,-0.091159573443789,0.09231629673567998
-2.55,0.183832483653947,-0.2807443600664865,-0.6245291260650566,-0.1682313995175435,0.47356797547968,0.250277385777986,-0.021278420551106958,0.11036620892346893
-2.5,0.10131094847701594,-0.24389334269474688,-0.5416089458969146,-0.2147805588764515,0.442382039106349,0.187434038800948,0.037250849580054035,0.11969279950456302
-2.45,0.000735919383211936,-0.1639457218691346,-0.3985936109152656,-0.27613282172235554,0.40057316856921404,0.168161210094124,0.08681252472016804,0.10596899661679893
-2.4,-0.15611076323376405,-0.03729408057269648,-0.2624811447214616,-0.32267867672676254,0.373489879883859,0.15964526607698104,0.11002042110237703,0.01543758010482299
-2.35,-0.3003452014764211,0.0977955344092915,-0.1532242231086571,-0.3127711864575235,0.3619949048509086,0.143560076698669,0.09737807678855903,-0.09591320384193303
-2.3,-0.39656453827227706,0.21935029906361952,-0.06303505258906861,-0.2803737273834225,0.3746918628763604,0.09914718062288197,0.090529289561252,-0.15485676855462804
-2.25,-0.4409101954777873,0.31089050427308046,-0.009453799424626708,-0.30035293320307455,0.38450494932127893,0.02398907555858898,0.10315431053846302,-0.19200333308934914
-2.2,-0.45648427102281225,0.3620085770783555,0.013549058322538401,-0.33188163115283453,0.3395058439189984,-0.06660288759884803,0.11340903585928003,-0.21278662079033905
-2.15,-0.47392035076315936,0.4360763090931295,0.0721347270071934,-0.3468269910048035,0.25757451293741973,-0.11165538512293804,0.161114163962359,-0.26262001668340895
-2.1,-0.5293124528672565,0.5070412263987636,0.1297191420949684,-0.32354540970407053,0.15903634008199702,-0.11293958997813702,0.18330778404816603,-0.31901281239619905
-2.05,-0.6066506120714912,0.5984305918074304,0.1532485967490984,-0.3107293565789765,0.11426573819145502,-0.12609004281873903,0.15286405523540503,-0.37803664390341907
-2.0,-0.654917878772945,0.6547678910467656,0.1321892808258414,-0.2966330877360505,0.06479240918557602,-0.16125313860575896,0.150435555048199,-0.4308488460177091
-1.95,-0.655329876550653,0.6500717941878196,0.06121179954635339,-0.3001757854493855,0.014600025708753017,-0.23712383240535495,0.15619240347108604,-0.4620468695935691
-1.9,-0.616249750466058,0.6124653170041634,-0.034190730754752804,-0.3201185695565385,-0.03646680221812798,-0.30580067863704796,0.20863563917987002,-0.48667644452916914
-1.85,-0.58294332152689,0.5811974356617735,-0.0846664861524652,-0.3325171769693105,-0.13444288310511998,-0.343190604309638,0.24681014683510002,-0.5097272913886091
-1.8,-0.5818011433534022,0.5503292772630346,-0.0792959568575225,-0.3602351144474365,-0.24871848053380197,-0.33052112115975807,0.26117373072223904,-0.5330957645200489
-1.75,-0.589078109331894,0.5280996539699045,-0.1207348937520864,-0.36490133960841853,-0.29408778715897,-0.31394114003529805,0.282491045083873,-0.550124075876889
-1.7,-0.5949451438141695,0.5077754595997075,-0.20544696418036462,-0.3353646649597605,-0.30056528117995895,-0.33147306154676803,0.27364899522628305,-0.5611032498096691
-1.65,-0.5521373323546662,0.42712768474331747,-0.3046830136345266,-0.2840584455637505,-0.301846147678558,-0.37282065578772805,0.273919680839859,-0.49666721237426903
