,"2.0, 48.0","4.0, 0.0","4.0, 24.0","4.0, 56.0","5.0, 51.0"
-0.5,-0.15686022946320977,3.0764010755711375,-2.499906447986315,1.813993355343751,2.0301025037255145
-0.45,-0.4347770328759899,2.9716603142659377,-2.614602990114875,1.965053308616971,1.6153727568374845
-0.4,-0.6947329495622596,2.8527112046599776,-2.711388684818965,2.088712409232731,1.2100780091987642
-0.35,-0.9140156867662297,2.7193462608835377,-2.801714008166595,2.276819643429131,0.9529989087967344
-0.3,-1.0813090649298496,2.5943126983958376,-2.8823126019890353,2.471378939415471,0.8131885223250744
-0.25,-1.2186413016512594,2.5118327465832078,-2.927537312483945,2.706322358725061,0.7204516242708544
-0.2,-1.28515523128861,2.4841299808533774,-3.030953347355815,2.970221185475391,0.6825810976658045
-0.15,-1.2185184956213293,2.5214971041236676,-3.156460914403175,3.183441063205201,0.5871622492152145
-0.1,-0.9979339601275998,2.5379135390958276,-3.1941822008428753,3.323411291193471,0.5561237821919746
-0.05,-0.6533577495217195,2.5406790550102576,-3.1778159234184953,3.497648072383231,0.5666657494903845
-0.0,-0.29732970750483956,2.5298663827221874,-3.071590220698805,3.6494701680542208,0.6664901141722644
0.05,0.1087165996025301,2.581222738240408,-2.913262835219565,3.8641524015729107,0.8118403380411144
0.1,0.5756585165532404,2.733615825405278,-2.736417315804245,4.078305256069961,0.9979757079316044
0.15,1.1379546817538202,2.8595396027597975,-2.474204536346705,4.265345324320811,1.2064671003725644
0.2,1.7844725082902202,3.0013563881362675,-2.261456730524265,4.430064863686351,1.4725547578795943
0.25,2.4337513622144873,3.1138948963396778,-1.9659793804456949,4.5206325261455005,1.7239019482476845
0.3,3.0488604282325813,3.1856576738006974,-1.5637147531796751,4.628509911736151,2.0388889474131044
0.35,3.615830971331742,3.3463416205741274,-1.0838836604873352,4.7915165801348705,2.429154208888624
0.4,4.1060576227314804,3.5628050411581875,-0.5441314615710349,4.94314923196433,2.8396480895372442
0.45,4.51705553916837,3.895726527882718,0.03720622967855469,5.097609799451841,3.2054139458692643
0.5,4.94326242674193,4.224735498185078,0.5896666908506552,5.17341037668024,3.581065558091695
0.55,5.354007794537731,4.5393145872256975,1.2896514386336548,5.144350449783401,3.922597501836574
0.6,5.64296518087229,4.849631366694868,2.069046774425325,5.1084245212450305,4.343294471086095
0.65,5.79359425465815,5.130909435683197,2.805994303198255,5.126542526004881,4.706898286571715
0.7,5.89852475411606,5.425243335713358,3.5659017329132956,5.1006797443180405,5.114419598910395
0.75,6.01582320503818,5.738735438448197,4.231810893316285,5.065462698051051,5.439051710909575
0.8,6.0895218367751305,5.996841469538317,4.717023568196136,4.901226250737041,5.695832319002855
0.85,6.16752172491518,6.181599035089658,5.075656820352214,4.756562596570101,5.863437441502465
0.9,6.19776527584757,6.359424730578377,5.285767088338445,4.6066039345891205,5.992397077938905
0.95,6.18003179882931,6.514262786994168,5.536012114336946,4.484408644417801,6.061257347874755
1.0,6.1479076957906,6.712308807971018,5.7181722210738455,4.4892660426473405,6.1483854461577545
1.05,6.08541389204715,6.986257323587017,5.783213961702445,4.542496106151391,6.230419274702335
1.1,6.07507331928254,7.210066517030798,5.696581119594845,4.538254572765851,6.267381149614975
1.15,6.13338148296714,7.372443341772637,5.502928219798744,4.5390050816403305,6.284047445282485
1.2,6.206137754811371,7.450588647799798,5.242795496392845,4.548152369504461,6.305364781974835
1.25,6.18523257189295,7.503887662748598,4.990090717574854,4.626934352542171,6.364602380528855
1.3,6.13641421905909,7.594854937087668,4.630485172791835,4.782199492136641,6.498715459798925
1.35,6.11317157682336,7.6926015288984075,4.177256916114595,5.006507721011311,6.628068683897465
1.4,6.157736598504901,7.8113468850831485,3.670753802541914,5.261939769884391,6.749207763927075
1.45,6.192126075426341,7.917058275170898,3.108474426994645,5.540678013201751,6.782833742770845
1.5,6.2379386498377105,8.003346820055727,2.5835350648192748,5.821790684470101,6.802264797526385
1.55,6.275444715926911,8.096848295853308,2.1608276438401752,6.221130292531601,6.872225586143335
1.6,6.2329584412400205,8.234787668890787,1.8676311024976346,6.592873578914331,7.048357406343765
1.65,6.14416554711409,8.402330551294888,1.668894862981185,7.0026961713957805,7.199566393785935
1.7,6.057472463426031,8.594207196735757,1.4016653485555048,7.369838955403961,7.327740730786295
1.75,6.00054420738287,8.776336508195747,1.0872988681539546,7.531690722972071,7.380581286363586
1.8,5.94129308655929,8.893812320535627,0.8145067627111953,7.5768207324909005,7.397661039240275
1.85,5.8236488949986,9.016752344933487,0.6438667820261852,7.6191691287047405,7.406836999686704
1.9,5.664765645913651,9.155435731099187,0.5379983008496252,7.582340620908771,7.4023701525985155
1.95,5.4991046675125705,9.247041961573258,0.4479327763264953,7.468740525206041,7.354213277240224
2.0,5.383447961782011,9.366157472175438,0.3136297624805051,7.3022599862440005,7.178039438482135
2.05,5.314395638551611,9.438598486461578,0.14622777778567464,7.070103063108961,6.873059683430325
2.1,5.267047150610811,9.516147808082748,-0.03950060565485547,6.740567885250201,6.514987852940025
2.15,5.17941146178328,9.580186290267488,-0.15351723500740544,6.335335518896951,6.1585085635058245
2.2,5.06808963538886,9.600902853233217,-0.25803765331886463,5.990607311475831,5.8966154857078745
2.25,4.91176823632027,9.657351102762426,-0.3933386188147754,5.663443551991981,5.700488064642365
2.3,4.764315910867561,9.726657297363417,-0.5629702819029454,5.318864691782031,5.428394235344645
2.35,4.6579966595735405,9.760776950340528,-0.8489766967817847,4.993827587154651,5.073424020067475
2.4,4.637620866452,9.746981500778737,-1.2233333950479452,4.584010183017371,4.746293909354095
2.45,4.62564157399682,9.635082291489088,-1.5314700195153752,4.130518966650821,4.499202801016275
2.5,4.57042159872216,9.439693333325458,-1.7516492416077152,3.790403275267171,4.319809898788595
2.55,4.5274743929748205,9.199671105323187,-1.911110541584995,3.508404354082921,4.180325049518485
2.6,4.46581362908248,8.892906584314257,-2.077623394154345,3.216730105222621,4.077593232161335
2.65,4.43712516388769,8.581463782665187,-2.335298843328855,3.003955559054021,3.956866577532994
2.7,4.46280505439668,8.336102467730278,-2.642933979846195,2.843428698760791,3.8701399717344347
2.75,4.549584029950131,8.027338302924628,-2.9186970942873653,2.7267259674874107,3.8742547493801847
2.8,4.66348419122957,7.633521755229987,-3.172534763130955,2.665664239902511,3.975984950175065
