timestamps,data,sampling_rate
0.05,0.234424984003108,20
0.1,0.234662928584002,
0.15,0.234796130313114,
0.2,0.245817402505991,
0.25,0.24919093489104,
0.3,0.250617970916717,
0.35,0.249682816721482,
0.4,0.239307538175917,
0.45,0.243284551468055,
0.5,0.246500300165282,
0.55,0.248486884722503,
0.6,0.247426432752354,
0.65,0.243128515627825,
0.7,0.240401897548172,
0.75,0.233389594889517,
0.8,0.233909944596167,
0.85,0.239992885600058,
0.9,0.244693944877921,
0.95,0.23476252785177,
1,0.230636495306892,
1.05,0.219907431004986,
1.1,0.217769186360045,
1.15,0.228307929417329,
1.2,0.232479510217932,
1.25,0.237658575633042,
1.3,0.237502167261699,
1.35,0.234496454358349,
1.4,0.232333710945883,
1.45,0.232350811786808,
1.5,0.235700172731203,
1.55,0.254147057280983,
1.6,0.254837352009113,
1.65,0.25178624983225,
1.7,0.243905871144797,
1.75,0.239685028871405,
1.8,0.246031671093747,
1.85,0.244367428240896,
1.9,0.231368843964455,
1.95,0.230813004521294,
2,0.222032132477463,
2.05,0.223370834515792,
2.1,0.224073579836651,
2.15,0.22551653710987,
2.2,0.228394708454448,
2.25,0.216317709253406,
2.3,0.222760121138303,
2.35,0.227627807572725,
2.4,0.231161948518348,
2.45,0.237213343494835,
2.5,0.232414957139678,
2.55,0.22904015283557,
2.6,0.225493435351848,
2.65,0.230801770826348,
2.7,0.23340397438683,
2.75,0.229599697555842,
2.8,0.235270033515434,
2.85,0.223594092602071,
2.9,0.216619409453767,
2.95,0.218979407905586,
3,0.230952705894473,
3.05,0.237566380628805,
3.1,0.237330886729359,
3.15,0.226347023070126,
3.2,0.220534793108379,
3.25,0.220443002264821,
3.3,0.220353252478442,
3.35,0.215465114464992,
3.4,0.221777707227057,
3.45,0.22963693743137,
3.5,0.231730363517882,
3.55,0.230392540210505,
3.6,0.228749514114663,
3.65,0.220798499741747,
3.7,0.223564360127742,
3.75,0.226602300849537,
3.8,0.226204500905559,
3.85,0.22064636879583,
3.9,0.212542071965527,
3.95,0.219744170571191,
4,0.232746857673642,
4.05,0.235809835325323,
4.1,0.231755113566097,
4.15,0.226847419348132,
4.2,0.224243505498073,
4.25,0.234462475271831,
4.3,0.241310616455475,
4.35,0.232416264063792,
4.4,0.228871731754251,
4.45,0.222593081559155,
4.5,0.221290314778975,
4.55,0.21480852279361,
4.6,0.222813012165634,
4.65,0.23065515121679,
4.7,0.221744301962002,
4.75,0.220669680610424,
4.8,0.21765523009203,
4.85,0.212843755834663,
4.9,0.220191095001338,
4.95,0.224285348171709,
5,0.22692018603774,
5.05,0.225629738119964,
5.1,0.219850287355542,
5.15,0.219156504669506,
5.2,0.225859138056731,
5.25,0.227841823199988,
5.3,0.223056666744381,
5.35,0.210296409398448,
5.4,0.208368128012632,
5.45,0.205541030589429,
5.5,0.208380795587598,
5.55,0.214248393704749,
5.6,0.224985164748589,
5.65,0.228567998823518,
5.7,0.209468765511084,
5.75,0.208286671292542,
