,D4_mean,D4_sem,D6_mean,D6_sem
-5.0,-0.1687027373228758,0.03982190499086288,-0.4944546533327287,0.6602332631503347
-4.95,-0.10955323728541497,0.037289222957899805,-0.4496185512150476,0.6165676940360536
-4.9,-0.04474029461990525,0.10753685741527975,-0.43192633776115785,0.5911124439562387
-4.85,0.022060756498889042,0.17591249929396577,-0.43320579789557223,0.579644915473947
-4.8,0.08002251154658574,0.2283403751120787,-0.4293906321517795,0.5650576451643745
-4.75,0.15139336909996046,0.2767474945420192,-0.440960018204348,0.5549360606074565
-4.7,0.20039320722847084,0.30781810896756784,-0.4450947823675938,0.5406709814967553
-4.65,0.24490799942257724,0.32764796356566533,-0.42364968596883845,0.5039486069694227
-4.6,0.26907677336932895,0.3363947473636066,-0.40723707646719653,0.4829393676454588
-4.55,0.28875877824042384,0.3393023283009185,-0.40594125766640343,0.4680238004724706
-4.5,0.29550541784101997,0.32421165248035955,-0.4070922543267354,0.45609772917027636
-4.45,0.2992932320988877,0.29143634764471815,-0.397766385046065,0.42675025543301226
-4.4,0.2994079500447507,0.25450192842458913,-0.37891405600862704,0.3895658998736249
-4.35,0.28569019162013476,0.21616009928634336,-0.34523520842354943,0.33476713062927393
-4.3,0.2586212421760354,0.1706105324601703,-0.2934631367312146,0.2742491069760979
-4.25,0.22866778235170246,0.11568926678740656,-0.22178417914988507,0.1925733474354844
-4.2,0.20017189091945572,0.05538997044051333,-0.16595005823389836,0.1201130388749606
-4.15,0.1711476861811831,0.0011792624108040578,-0.09915052178815062,0.03837005345363372
-4.1,0.14441215429605164,0.05211879513802265,-0.034548637010507074,0.042177695689328686
-4.05,0.11625506733110282,0.09587309860096382,0.014822774007105625,0.10384784795551184
-4.0,0.08024695546060298,0.1336554021330475,0.08404704494476117,0.16933239406753833
-3.95,0.0563587765169946,0.1597389781372836,0.1435373833649124,0.2236134306146933
-3.9,0.02293166691298175,0.18098675471610193,0.17639431127248045,0.25381535105783914
-3.85,0.009298314441481173,0.18772795887011826,0.2043153518084696,0.28784745978304405
-3.8,0.0016237674398288243,0.19134298196737295,0.2391492426134655,0.32444184045457625
-3.75,-0.000283857576724153,0.18923486544061838,0.2662965152366687,0.35709404363616093
-3.7,-0.005219554071405869,0.17614878121410216,0.29646813124344645,0.38944948979498767
-3.65,-0.005321634260399208,0.15737477532027982,0.30780783088687613,0.3994540108035135
-3.6,-0.005667408297975143,0.1477566602831167,0.29874555183079154,0.3904058161207777
-3.55,0.001556640655533792,0.137395755526036,0.26342656272848736,0.3675409799918232
-3.5,0.009850072470647148,0.12465008542817836,0.21816105495042848,0.3253303480897687
-3.45,0.006801451032100003,0.10914090028845107,0.19145232165451326,0.3046552487399086
-3.4,0.007173506045384484,0.08201650755675989,0.16764809348722093,0.2786926923499713
-3.35,0.003900789423849825,0.05799899072354785,0.15192628957015286,0.25731890845981764
-3.3,0.0038957309200382054,0.03480124514241791,0.1409406501776322,0.23902951416512774
-3.25,0.0003149108302014352,0.022355316623809674,0.12161032553632707,0.21825464047163853
-3.2,-0.0010444052411501441,0.016449339938671738,0.10279837480635522,0.20611519230774497
-3.15,0.009586964537802013,0.005864252363426567,0.0924232910128534,0.19213278176520365
-3.1,0.008081773395443321,0.0038691238225480712,0.0731115975862475,0.16815273963788233
-3.05,0.004833334722743706,0.014388202927538498,0.04011261118696124,0.1356638001544754
-3.0,-2.4487744605465947e-05,0.03101325606729524,0.011213268814618559,0.1016623208723295
-2.95,-0.004981590719245636,0.04339156993840584,-0.032779817213705854,0.04491021540834534
-2.9,-0.009032943741310168,0.0499574895613538,-0.05984546801071041,0.0151646984306261
-2.85,-0.009918974987715986,0.06651313095725292,-0.08171636866845422,0.010266750912908141
-2.8,-0.015793703951611983,0.08920212607424922,-0.08192545108777462,0.02333463631918707
-2.75,-0.021905176816251676,0.11260215804290362,-0.07695777324761913,0.029110205477560828
-2.7,-0.019101863685552084,0.1303095919166524,-0.09066563735970591,0.061879975676228424
-2.65,-0.02860821602555185,0.12755770419091048,-0.10507485334787192,0.08969845295572021
-2.6,-0.03461953763559578,0.1186067751988724,-0.12956741788353177,0.11929424154173358
-2.55,-0.04793856697906329,0.10113541345886945,-0.14087145858092898,0.13127905203529
-2.5,-0.051471149817849796,0.09696204145514987,-0.14738214306368816,0.13335562156379027
-2.45,-0.06828288534792674,0.08891770524194706,-0.15184158529467592,0.14228904340427107
-2.4,-0.08638938319380246,0.08120708142927101,-0.15595156825712747,0.14095512849629688
-2.35,-0.10249778877595349,0.06470162593363912,-0.14854754067752585,0.12835688791038752
-2.3,-0.12437622257234732,0.03593356778097043,-0.1216609899495517,0.10777205811514141
-2.25,-0.14660913444469537,0.006957326873246113,-0.08988328744351938,0.07486060975559108
-2.2,-0.16386614439863695,0.05090411548663179,-0.044525370462037764,0.014615008538830071
-2.15,-0.18617493300339033,0.0919855218343086,-0.002617731990006651,0.030897646831769383
-2.1,-0.20336133115069419,0.12785770334656582,0.05286960488372221,0.09108282642394322
-2.05,-0.2225623016545234,0.16736650330882197,0.09782904332051165,0.14816625249416623
-2.0,-0.24073487433679686,0.2056140031098407,0.14395161250115987,0.21163508937942005
-1.95,-0.2634753326817737,0.2411391367984277,0.21100058099571123,0.30757562363133
-1.9,-0.2644599247522569,0.2509567501584452,0.28050952637402543,0.40280977887123304
-1.85,-0.2670927745142554,0.24973055227200314,0.37039850797941787,0.5153335305988127
-1.8,-0.2523860341547229,0.2341550742072412,0.44906167704784633,0.6143322486586833
-1.75,-0.25068340580632426,0.22700831809712219,0.5238178856851108,0.701602466523833
-1.7,-0.23570816406995523,0.21419064094405282,0.6098045866989245,0.8032388255320118
-1.65,-0.22176535912009931,0.20205176402569233,0.7036163312744983,0.9050120115007885
-1.6,-0.19782013669893142,0.18400793917192432,0.8023124603844021,1.0081088444024253
-1.55,-0.1618882518300472,0.1533675450393262,0.8942596271128975,1.118674901477938
-1.5,-0.11615785407264534,0.10075724705770786,0.9800782196896556,1.2203604794061713
-1.45,-0.07078825814231171,0.03347402690721378,1.0522577774784694,1.306198021573801
-1.4,-0.025772923164796242,0.02987717087211805,1.1171174835103796,1.3881574910133168
-1.35,0.011943029005600035,0.0806215398384679,1.162563507005522,1.454404373168342
-1.3,0.06918291224161463,0.13476622270304708,1.2045330067379862,1.5096747651911595
-1.25,0.1277078592213846,0.185652898495212,1.2315582992950458,1.5558891164722117
-1.2,0.1866413545068456,0.2440628533812315,1.2446443421568714,1.5758984095278101
-1.15,0.2216282049615244,0.2726235341426954,1.2463343063889827,1.5904855107890985
-1.1,0.2553817207331908,0.2948875650386681,1.2157696357507635,1.5701902019912435
-1.05,0.2728265901063738,0.30600512544937486,1.1752133070292325,1.541182908412764
-1.0,0.30289791461636245,0.31868124719360896,1.1256444674490056,1.5079866828107789
-0.95,0.33329295257651065,0.3349972416394698,1.0566299570904498,1.4566349767286548
-0.9,0.3530229322107779,0.3450729177799332,0.9752105864811199,1.397086854881777
-0.85,0.35859849773463953,0.3569752382635727,0.8826116742519707,1.3285396342095628
-0.8,0.3541213130226443,0.36917050495935316,0.7767274455102542,1.228596575100005
-0.75,0.34472909619467745,0.36868094902063747,0.6701961860085808,1.1223404269508166
-0.7,0.33888325652710266,0.3541291100866017,0.5707791365567534,1.0182398286497705
-0.65,0.336147707194353,0.34713765217142306,0.4675643840300893,0.9160778544145165
-0.6,0.33430511781729644,0.3460692716259433,0.3753213967528577,0.813396184936156
-0.55,0.312449000969033,0.34723270632273684,0.29058874521432365,0.718093442958544
-0.5,0.2887463482082745,0.35913762988537684,0.22551716208928266,0.6272288893488932
-0.45,0.269142987879596,0.36304093501334384,0.1611317562544235,0.5394095150914822
-0.4,0.2684730463974276,0.391675881863028,0.09985169386950091,0.4492243038725487
-0.35,0.27852537200577054,0.42715861866437027,0.06292580094386235,0.38376122269145324
-0.3,0.2986376817015351,0.4698631216763417,0.04631876691630915,0.33673293172719043
-0.25,0.30776390832804235,0.5155686217906799,0.05635294320996667,0.30213267987881703
-0.2,0.3199015780159449,0.5628308535054602,0.08198289171177306,0.28218184535825647
-0.15,0.3574407462484802,0.6230102235182334,0.11470943407426941,0.26871476722964627
-0.1,0.414693432938471,0.6840898157402957,0.17090653079301116,0.27415995950914845
-0.05,0.48554681765060786,0.7460095364666803,0.24384963807219995,0.31091420271653164
-0.0,0.5605823841691014,0.8172535132258573,0.3345298851339269,0.36085146221507863
0.05,0.6370670630146817,0.8967209639815187,0.45632547975944576,0.43420836868803386
