,"0.0, 20.0","2.0, 46.0","3.0, 4.0","3.0, 11.0","3.0, 25.0","3.0, 49.0","3.0, 55.0","4.0, 41.0","5.0, 0.0","5.0, 16.0","5.0, 34.0"
-0.15,1.18960345376266,0.9468840547323096,3.8454533222672955,-1.9078423729069245,0.848203324445,6.683293273372245,-2.0356082931014106,-1.5291574080411052,0.6006166152962849,-0.42714620978297013,2.5706609073904634
-0.1,1.2560694945767719,0.9887091109295296,4.192821650151934,-2.0212603809935343,0.87149276206902,6.757268446409035,-1.8130810817278444,-1.0248516605360751,0.805042657752465,-0.21824433393122034,2.2926490707663536
-0.05,1.3206002703959339,1.0111493368764495,4.505386082871456,-2.0911740091151745,0.85181970550951,6.832866336114015,-1.4862162279897593,-0.5238976729478653,1.0360643272091747,0.021891151125889685,2.0686305952405433
-0.0,1.414582737510767,1.0474572379163996,4.772847752292052,-2.0834268966571843,0.8489630302678302,6.963625333282395,-1.1634239656122893,0.026636748134314825,1.192606157595985,0.2808954740578695,1.8554312625564036
0.05,1.426937000276048,1.0845631074111695,5.150787898887597,-2.0834715490936646,0.82535665217438,7.148370288990255,-0.8469743406283603,0.6794168876938449,1.3009467683167648,0.5452230122990196,1.6405125706311536
0.1,1.471668373707922,1.1708009830730495,5.54651240043834,-2.0897481621652645,0.87837187313866,7.323624597480015,-0.5531890291236503,1.3343388901037647,1.3909341406437148,0.79565723085513,1.4591153781200634
0.15,1.5209503471376729,1.3692195691709093,5.80078223480987,-2.1068071803339143,0.9970406138619401,7.504508017595015,-0.18619997514133035,1.9980026234300645,1.4069963734160151,1.02757389206044,1.4784343794435335
0.2,1.5194689151609668,1.6279242359540294,6.06404674445229,-2.1589503476654044,1.00142461307097,7.608452697421995,0.22009037184564972,2.6255553997861147,1.4428178513753147,1.41318492390445,1.6229564486346932
0.25,1.5253626489689949,1.8784410015799096,6.3135289804245405,-2.1494483443991546,0.9242218195983201,7.696886607347855,0.7162106685672298,3.0928265220573845,1.441372819857045,1.77291306049388,1.8745375158270834
0.3,1.500558406604553,2.1050579634244992,6.49738926491646,-2.1156386684696242,0.8067203040081401,7.809627292567505,1.3044991686436598,3.4948820208816844,1.414463169304845,2.10575825091575,2.2530426917018436
0.35,1.464057976078139,2.2918824566960394,6.69537126035636,-2.1719008532367643,0.7115150705239202,7.823581933331245,1.8570043407228898,3.892587606219685,1.374031699193355,2.5299260142146895,2.6566673357584834
0.4,1.426885728802699,2.601770287295169,6.81107932222438,-2.1936329602945643,0.66196133513752,7.797738884335795,2.3291148340238097,4.160922136801885,1.2525348728330548,2.94296333787438,3.1410224850949335
0.45,1.3852017256253588,2.9281081273883096,6.88511944231583,-2.2583980595979143,0.665632542088,7.724501578618115,2.7499011236552295,4.348827072974675,1.188400008318175,3.2617255153028397,3.769840932542113
0.5,1.373435269244715,3.2605710118409283,6.840879399070641,-2.3879100173891645,0.67281615688188,7.711233037725405,3.1038685459415296,4.481781658520755,1.192376691672665,3.62399275949019,4.569630293473414
0.55,1.3060110116579389,3.6700502408906073,6.709311840825411,-2.4918770074928744,0.6078818857834403,7.714318663926645,3.33625028783778,4.500204987668175,1.1794383016079248,4.0505727595403,5.4501866854454235
0.6,1.269326803439897,4.015572659705083,6.565581903320501,-2.6360057026909143,0.4504522587697801,7.685381540894945,3.5041889543277795,4.454873198038725,1.1990654728844048,4.564352679351339,6.3226894974584535
0.65,1.2728259600024698,4.332870913368394,6.4055481980418,-2.7858994145180347,0.28922943038259996,7.626236238204865,3.6427808918162894,4.324932736164265,1.210135913104615,5.083634403619639,7.187569934224033
0.7,1.263359211481475,4.668848117323228,6.2649736514580106,-2.9977840394442943,0.17350211941776017,7.545124792212605,3.67634353823195,4.198368023690665,1.200038109926415,5.57556704612708,7.950042644757033
0.75,1.2415441217818028,4.9897087615215305,6.21181981216851,-3.3128495768216344,0.07946570138463027,7.321128823162545,3.64329017242763,4.040839813332115,1.213441800496715,6.039243727461569,8.616604216976453
0.8,1.2699456216427478,5.34360109962992,6.07293899878855,-3.6793268565790425,0.07058141657368022,7.025194042106355,3.5580028225520994,3.8374673580911445,1.227735724113095,6.502203875394999,9.283390497665524
0.85,1.2560979253822053,5.6918049720880495,5.89540881662446,-4.084906166025266,0.03622304789816022,6.683353906906625,3.5041796767349496,3.586761144799235,1.244570320611995,6.936906206302799,9.838343935725023
0.9,1.2150536452433758,5.963014494076269,5.83682948452925,-4.430614254734815,-0.06314586652748977,6.371992295363225,3.383388910799219,3.260644640466415,1.3515158878199849,7.3994021075787,10.177657377448423
0.95,1.2034215969462791,6.169952597734909,5.72971707887494,-4.740482239219507,-0.09185154050084998,6.132486223619935,3.20314333888272,2.9562657028526944,1.427886081890825,7.720599708627299,10.364607530847723
1.0,1.164928980014236,6.4381949552744295,5.609363220787671,-5.079555198330333,-0.045075043954589944,5.922513042094365,2.9104706905222795,2.7913654567874344,1.5780472726026649,7.973872772160499,10.396122861733524
1.05,1.1508078397259511,6.683105013378279,5.5215362486836606,-5.398252002719249,0.055136321647410114,5.732600973692745,2.50004132800379,2.677128142999565,1.752724984254215,8.1749320581602,10.239459848569323
1.1,1.176781756717472,6.912539388407479,5.395965674814961,-5.619378480526624,0.13004318029837014,5.605903381100725,2.0257310041732293,2.6133374564006244,1.9130891938174648,8.1929231210448,10.055171918753324
1.15,1.2207156266056662,7.045269499979499,5.290506491383423,-5.869342325745064,0.15795763054068024,5.474592190852405,1.4840689510834895,2.6402830382198346,2.178036803350505,8.1237673660589,9.788459449852523
1.2,1.2509462175153112,7.1595431331508,5.235677047248544,-6.035725622613374,0.07048247752019998,5.443741652743965,0.9748314680770696,2.6524598374026844,2.3894147214813053,8.0488022911783,9.389973554999823
1.25,1.1846881635496305,7.20198455640076,5.272636768147855,-6.0380609578534346,-0.04127175866178012,5.407403357766465,0.4690690502598098,2.668959451243505,2.6142740283337753,7.9090383708483,8.906805069049213
1.3,1.1674130388401853,7.1443694956240895,5.308230271280134,-6.009925796771174,-0.08867777978522007,5.367234551910655,0.07563328337747954,2.6917953649137445,2.8496235264200553,7.6261744828861,8.272862188345714
1.35,1.1652352525910037,7.0635714920087596,5.322709476612292,-5.969370438125754,-0.09181415287687011,5.345043716272675,-0.31451122271317034,2.774292834380385,3.0438555321897853,7.197808634786499,7.593571072070093
