,"0.0, 8.0","1.0, 48.0","2.0, 12.0","2.0, 53.0","3.0, 10.0","3.0, 28.0","3.0, 45.0","3.0, 58.0","4.0, 4.0","4.0, 16.0","4.0, 22.0","4.0, 44.0","4.0, 58.0","5.0, 6.0","5.0, 28.0","5.0, 42.0"
-5.0,-0.40283065516625416,-0.9086910819417398,-0.05040379446964909,-0.11365017610871148,-1.132497380811145,0.39170832708704806,-0.4407874391844805,-0.6875907556271601,0.46619132408158737,0.3747726396073461,0.3640245636368565,-0.6569934994737465,-0.47385203457733954,0.9229949418117794,0.3563551619651089,-0.07084345814170695
-4.95,-0.28882792738045504,-0.9083839163542597,-0.1399481847866261,-0.12520036943957447,-1.136862558239525,0.34868143225070813,-0.5389597890867566,-0.675964301434347,0.4242605695838475,0.46608571939661614,0.20391411454498548,-0.5792834170960934,-0.4344779528084535,0.7331446037011494,0.3342570267506149,-0.031914413494866956
-4.9,-0.13639547816083708,-0.9448238322448601,-0.18478103777667199,-0.16716599603933147,-1.119544602369627,0.32587624871478815,-0.6048718335704335,-0.6680562402784901,0.36977697624994743,0.5803864538755061,0.06144675696327451,-0.4624163043188195,-0.41600597584560856,0.5859738611787735,0.36455455804316494,-0.02038798698373695
-4.85,0.006714585677982887,-0.95279721972513,-0.18201202730594168,-0.23655914517342447,-1.0923036201179679,0.33773853339258797,-0.6463461796366755,-0.7001671140527851,0.3344551909966975,0.672769746246406,-0.0554960616303225,-0.3536037996990854,-0.4477399324701115,0.4677800673783785,0.40254276426517893,-0.016603672867015945
-4.8,0.1049844965239739,-0.9026956296802497,-0.1501421018865186,-0.3194092044125933,-1.034898669132914,0.30963051902996797,-0.6755025422736844,-0.7350740635175591,0.3098743738605274,0.7992902249917659,-0.12936458726280953,-0.2273154316537888,-0.4847006637795495,0.3667843744302175,0.4304997656358249,-0.035046677920496955
-4.75,0.19194260366039295,-0.8307076850300299,-0.1281114366313078,-0.32697802601335596,-0.9131028938101327,0.280511592764068,-0.7096738008647024,-0.7385096076595097,0.3683390580066874,0.918022978682866,-0.19330820659133513,-0.09399421456929549,-0.49776789339585853,0.2543256908516456,0.4348571846488939,-0.02151135112196495
-4.7,0.2563712720317459,-0.7351606817640297,-0.1088627588406082,-0.2901421539021344,-0.820263730741878,0.2233656610627881,-0.7770056943627532,-0.6877013877820081,0.4454032279587774,0.9586648460371161,-0.2529128335180565,-0.014770198314939476,-0.4950599233647625,0.1793500961617135,0.37022646535508497,0.029699366158390555
-4.65,0.32341792173286393,-0.66303986121958,-0.1132617417724989,-0.19739011135305648,-0.70319800586307,0.1436389207792721,-0.8198128744636608,-0.562890846518943,0.5237501241223774,0.982285860430606,-0.31247355796024584,0.058911587626943485,-0.48021891703213254,0.11140683949834451,0.2956776718160729,0.08935756388729685
-4.6,0.38601162251422494,-0.62999885099737,-0.124525140896773,-0.13734063470433647,-0.621009281021765,0.0726662159094581,-0.818094943095787,-0.4384444722875051,0.5944246901181773,0.9693052775725661,-0.39401155102991653,0.1648213833225925,-0.4873190050144645,0.041152354930239554,0.23445520799366593,0.11081954277855115
-4.55,0.44219443646092493,-0.5974536885677897,-0.08727463851704519,-0.11956212346976847,-0.539704164567242,0.04539529495850203,-0.7988578919382261,-0.3890490910863701,0.6274465911987874,0.9151300336884061,-0.4221561007406105,0.3081622376436575,-0.5066788925859795,0.003799222323326523,0.19799982650572595,0.11191214772578575
-4.5,0.45616210253768097,-0.5572288224684498,-0.05220374564303329,-0.13596802325914947,-0.407218783861741,0.043396363643570024,-0.7381684261117532,-0.3582532510787101,0.6306945126905275,0.880417257629216,-0.3982436342307155,0.4594374427496765,-0.5216094892398595,0.0021404359898005154,0.12801382985276794,0.10933247657073815
-4.45,0.4296398920471499,-0.4606209442756999,0.01130069998075281,-0.11934364547635848,-0.264764635979751,0.07637494599722705,-0.6699582103775436,-0.3121850197169981,0.6732968210688075,0.845535660232096,-0.3513098900274164,0.5438471409055274,-0.5085354788281886,0.016775313881408516,0.053697737135740886,0.16195976469995876
-4.4,0.4147979404534569,-0.3429201575195,0.0434896102124408,-0.11449268521065648,-0.10988930976163203,0.07783035073298206,-0.6351107325684064,-0.2682817787240881,0.7267140903580573,0.806320027172506,-0.3227627026829153,0.6204364834055145,-0.4454282734586115,0.005039299932621533,0.0006995458733549675,0.26205463770746007
-4.35,0.43517765042848794,-0.23922546706947,0.044067944241423795,-0.056397914386034476,0.00809937107386105,0.011630678766012092,-0.5793552970377875,-0.22247012912702013,0.7555838309794574,0.724607011616496,-0.2831526508575346,0.6452934434268085,-0.3472990423625166,-0.045653635601677456,-0.060096098434625045,0.32167178168478106
-4.3,0.48843237623955393,-0.14009618106265997,0.0320502366866868,-0.007533078722019471,0.09532589841618899,-0.06516853533799993,-0.4793549293804525,-0.16658551739192906,0.7487168342151074,0.609233246793786,-0.2820334976042012,0.6401994822698684,-0.2544596393848055,-0.10801094808614048,-0.10154386834503204,0.39899947614789005
-4.25,0.5506919432772939,-0.09957678046918983,0.09999360184262182,-0.014428369168209498,0.16771629493810902,-0.12747611242135592,-0.3766381126934435,-0.16319987042386208,0.7478851223589975,0.531872543736106,-0.2275314749169226,0.6746630312875945,-0.20991596086363257,-0.12251598680125647,-0.0804551034142631,0.45657148276014703
-4.2,0.535631861751413,-0.062218475727019884,0.2115720758095248,0.008085054800846536,0.21536773112348806,-0.12095572274903499,-0.25809674325526855,-0.13852019298512608,0.7683926567583075,0.436110547233556,-0.11374726761625051,0.6852360715981736,-0.2362832170940195,-0.06337950195851849,-0.02508957230883102,0.4744054222818381
-4.15,0.4619982362490869,0.025755254262670002,0.2952549484568258,-0.0003739472852864467,0.23912872711890798,-0.12304669521362499,-0.1453260558199685,-0.12604464666253012,0.8053039799103074,0.35188433337328595,0.012014265594064488,0.6827129887453025,-0.2602709005962445,0.015590220516474518,-0.0006995458733550786,0.523350014695878
-4.1,0.39628517150450093,0.08495119942992013,0.33932211645401383,-0.00284907055734146,0.27444946653132796,-0.13167948554612896,-0.057287943931805474,-0.0629184049900251,0.8336979110471374,0.28361820994671594,0.12015524565441849,0.6660761879171795,-0.25376815136409253,0.08674637470281454,0.004026630620907912,0.563669733525646
